label,content
Spam,Nhận ưu đãi miễn phí cho sản phẩm mới!
Spam,Giảm giá 50% cho tất cả các mặt hàng!
Spam,"Khuyến mãi lớn, nhấp vào đây để nhận!"
Spam,Bạn đã thắng giải thưởng trị giá 1000 đô la!
Spam,"Đừng bỏ lỡ cơ hội này, nhấp vào liên kết!"
Spam,"Mua một, tặng một miễn phí trong hôm nay!"
Spam,"Cơ hội đầu tư tuyệt vời, hãy tham gia ngay!"
Spam,Nhấn vào đây để nhận quà tặng!
Spam,Hãy kiểm tra tài khoản của bạn để nhận phần thưởng!
Spam,Giảm giá đặc biệt chỉ trong hôm nay!
Not Spam,Thông báo từ ngân hàng về tài khoản của bạn.
Not Spam,Cập nhật dịch vụ từ nhà cung cấp của bạn.
Not Spam,Thông tin về đơn hàng mà bạn đã đặt.
Not Spam,Cảm ơn bạn đã đăng ký nhận bản tin của chúng tôi.
Not Spam,Đừng quên thanh toán hóa đơn của bạn vào cuối tháng này.
Not Spam,Hướng dẫn sử dụng dịch vụ mới đã được cập nhật.
Not Spam,Mời bạn tham gia hội thảo trực tuyến về công nghệ mới.
Not Spam,Chúng tôi đã nhận được yêu cầu hỗ trợ của bạn và đang xử lý.
Not Spam,Lịch trình cuộc họp của bạn vào thứ Hai tới đã được xác nhận.
Not Spam,Bạn có một tin nhắn mới từ người bạn của bạn.
Spam,Chúc mừng bạn đã thắng giải thưởng trị giá 500 đô la! Nhấp vào liên kết dưới đây để nhận phần thưởng của bạn ngay bây giờ. Đừng bỏ lỡ cơ hội này!
Not Spam,"Xin chào, đây là thông báo từ ngân hàng của bạn. Bạn có một giao dịch mới trong tài khoản. Vui lòng kiểm tra tài khoản của bạn để biết thêm chi tiết."
Spam,Nhận ưu đãi 70% cho tất cả sản phẩm trong tuần này! Nhấp vào đây để biết thêm chi tiết.
Spam,Bạn có muốn kiếm tiền từ nhà? Hãy tham gia chương trình đầu tư của chúng tôi ngay hôm nay!
Spam,Miễn phí giao hàng cho đơn hàng đầu tiên! Đặt hàng ngay bây giờ!
Spam,Đừng bỏ lỡ cơ hội cuối cùng! Khuyến mãi chỉ diễn ra trong 24 giờ!
Spam,Tài khoản của bạn đã bị tạm ngừng! Nhấp vào liên kết để xác nhận thông tin.
Spam,Cảm ơn bạn đã tham gia! Bạn đã nhận được quà tặng miễn phí!
Spam,Chỉ cần trả 1 đô la để nhận phần thưởng lớn! Hãy nhanh tay lên!
Spam,Hãy kiểm tra ngay chiến dịch giảm giá lớn nhất năm!
Spam,Đầu tư vào tiền điện tử ngay hôm nay và kiếm lợi nhuận lớn!
Spam,Nhấp vào đây để tham gia chương trình giảm giá đặc biệt cho thành viên mới!
Not Spam,Thông báo từ ngân hàng: Đã có một giao dịch mới trên tài khoản của bạn.
Not Spam,Cảm ơn bạn đã đăng ký nhận bản tin của chúng tôi.
Not Spam,Bạn có một tin nhắn mới từ đồng nghiệp.
Not Spam,Đây là thông báo về cuộc họp vào thứ Tư tuần tới.
Not Spam,Hướng dẫn sử dụng ứng dụng mới đã được gửi đến bạn.
Not Spam,Đừng quên thanh toán hóa đơn của bạn vào cuối tháng này.
Not Spam,Chúng tôi đã nhận được yêu cầu hỗ trợ của bạn và đang xử lý.
Not Spam,Lịch trình phỏng vấn của bạn đã được xác nhận cho ngày mai.
Not Spam,"Xin chào, chúng tôi muốn mời bạn tham gia hội thảo về công nghệ mới."
